qid,question_text,target
42b9446db515fcd253a7,What is the qualification for an animator or an animation director?,0
bdad704204f8535e313a,Do different flavoured protein shakes have different effects?,0
d13a0c498bf5a9cb2bc3,How does someone keep their children when they're on drugs?,0
237828efb8348c39f14b,How much time required to learn Bollywood dance? If I have 1 month to learn,0
3c02e808603faa6ecc20,What skills can I have to fit in formulae one?,0
99f098a757d957385db8,"Is your middle child more rebellious, attention-seeking, and sulky compared to his/her siblings?",0
0482590f21ba611b6b00,What are some things you wish you had thought to bring with you to college?,0
935cf06dc853fdc11a21,How many Saudi are working in oil field?,0
7fbaefb39b5ba80f33d7,What is the best tourist destination in Rajasthan?,0
59fd0bbe2b438c8286d9,Why is it politically incorrect to tell my Honduran classmate that his country is a shithole? Honduras is one of Latin America’s poorest countries after all.,0
93e77459df0e9dd61158,What has Commercial Radio Hong Kong accomplished in the radio broadcasting industry?,0
8aa8cdb81bd47158f9e0,How do logarithms turn multiplication into addition?,0
a4f67a21dd9e75400dd0,What is the difference between Casio AE-1000W-1A and Casio AE-1000W-1B watches?,0
0348d4a166bd2de020b3,What are you expecting the DOJ Inspector General's report to contain when it is released this afternoon?,0
17e516e41a52f21942e3,What would happen if we all stopped using money (including virtual currencies)?,0
cec885b89737559d548b,How effective is Aleve or Motrin for back pain?,0
f2c840c4391fbe4fc8fd,Why are many software engineers jobless while some earn in lakhs?,0
2172a18165937e7fc8c1,What are some trivia games or activities that premed students can engage in for fun to prepare them for medical school?,0
f3ae27be66bc2de63c75,Why they lay the bricks horizontally?,0
fa799bb8c9ae4c378d08,"As per Islam, will Saudi Arabia be the same as beautiful original rules of Islam until the end of the world or will it be modernised?",0
e6933c1b509a825c52be,How do I create a mobile app without writing code?,0
c28946c159e3344a871b,"Generally, how many number of images per class is necessary for CNN to have good performance (without transfer learning)?",0
815c19081ff5a55c3636,How can I find real divorced women on Facebook?,0
113d4af0469fb88d8632,"What was the language of Parthians, and how close was it to Persian?",0
0063b684ac85062aa6c6,I said modern life is better than ancient?,0
581ce9bf454ea6512cd3,What does astigmatism of -.25 and -.5 mean?,0
c091b4fa9355ce762101,You are made president of Chad. How do you ameliorate the situation of your country?,0
4c0685fb671c44a47851,What were the causes of the Crimean War?,0
